protein1 protein2 combined_score
243273.MG_170 243273.MG_382 713
243273.MG_170 243273.MG_526 165
243273.MG_170 243273.MG_361 986
243273.MG_170 243273.MG_419 569
243273.MG_170 243273.MG_087 990
243273.MG_170 243273.MG_455 194
243273.MG_170 243273.MG_035 397
243273.MG_170 243273.MG_253 359
243273.MG_170 243273.MG_404 486
243273.MG_170 243273.MG_278 156
243273.MG_170 243273.MG_197 758
243273.MG_170 243273.MG_398 259
243273.MG_170 243273.MG_088 990
243273.MG_170 243273.MG_040 155
243273.MG_170 243273.MG_140 278
243273.MG_170 243273.MG_334 392
243273.MG_170 243273.MG_208 177
243273.MG_170 243273.MG_004 312
243273.MG_170 243273.MG_066 215
243273.MG_170 243273.MG_378 398
243273.MG_170 243273.MG_086 628
243273.MG_170 243273.MG_341 730
243273.MG_170 243273.MG_305 782
243273.MG_170 243273.MG_379 173
243273.MG_170 243273.MG_038 271
243273.MG_170 243273.MG_463 444
243273.MG_170 243273.MG_179 721
243273.MG_170 243273.MG_392 532
243273.MG_170 243273.MG_089 827
243273.MG_170 243273.MG_149 456
243273.MG_170 243273.MG_002 222
243273.MG_170 243273.MG_356 197
243273.MG_170 243273.MG_073 450
243273.MG_170 243273.MG_522 706
243273.MG_170 243273.MG_161 999
243273.MG_170 243273.MG_173 961
243273.MG_170 243273.MG_021 377
243273.MG_170 243273.MG_164 998
243273.MG_170 243273.MG_180 721
243273.MG_170 243273.MG_092 829
243273.MG_170 243273.MG_163 999
243273.MG_170 243273.MG_238 654
243273.MG_170 243273.MG_393 439
243273.MG_170 243273.MG_171 969
243273.MG_170 243273.MG_292 504
243273.MG_170 243273.MG_154 999
243273.MG_170 243273.MG_402 542
243273.MG_170 243273.MG_443 257
243273.MG_170 243273.MG_261 355
243273.MG_170 243273.MG_403 508
243273.MG_170 243273.MG_195 732
243273.MG_170 243273.MG_070 982
243273.MG_170 243273.MG_082 987
243273.MG_170 243273.MG_464 997
243273.MG_170 243273.MG_401 584
243273.MG_170 243273.MG_124 252
243273.MG_170 243273.MG_155 998
243273.MG_170 243273.MG_160 998
243273.MG_170 243273.MG_232 773
243273.MG_171 243273.MG_102 234
243273.MG_171 243273.MG_325 158
243273.MG_171 243273.MG_005 256
243273.MG_171 243273.MG_262 189
243273.MG_171 243273.MG_157 954
243273.MG_171 243273.MG_151 929
243273.MG_171 243273.MG_128 186
243273.MG_171 243273.MG_311 707
243273.MG_171 243273.MG_152 961
243273.MG_171 243273.MG_183 794
243273.MG_171 243273.MG_234 289
243273.MG_171 243273.MG_345 175
243273.MG_171 243273.MG_254 247
243273.MG_171 243273.MG_185 480
243273.MG_171 243273.MG_141 451
243273.MG_171 243273.MG_194 265
243273.MG_171 243273.MG_003 433
243273.MG_171 243273.MG_047 179
243273.MG_171 243273.MG_175 950
243273.MG_171 243273.MG_153 918
243273.MG_171 243273.MG_231 922
243273.MG_171 243273.MG_481 202
243273.MG_171 243273.MG_184 693
243273.MG_171 243273.MG_142 343
243273.MG_171 243273.MG_169 967
243273.MG_171 243273.MG_134 254
243273.MG_171 243273.MG_365 364
243273.MG_171 243273.MG_407 735
243273.MG_171 243273.MG_275 237
243273.MG_171 243273.MG_181 756
243273.MG_171 243273.MG_303 151
243273.MG_171 243273.MG_083 173
243273.MG_171 243273.MG_426 200
243273.MG_171 243273.MG_110 900
243273.MG_171 243273.MG_433 491
243273.MG_171 243273.MG_159 938
243273.MG_171 243273.MG_048 174
243273.MG_171 243273.MG_302 241
243273.MG_171 243273.MG_478 539
243273.MG_171 243273.MG_357 177
243273.MG_171 243273.MG_107 853
243273.MG_171 243273.MG_473 158
243273.MG_171 243273.MG_054 348
243273.MG_171 243273.MG_228 221
243273.MG_171 243273.MG_388 192
243273.MG_171 243273.MG_458 328
243273.MG_171 243273.MG_093 287
243273.MG_171 243273.MG_080 196
243273.MG_171 243273.MG_405 261
243273.MG_171 243273.MG_299 376
243273.MG_171 243273.MG_036 304
243273.MG_171 243273.MG_362 607
243273.MG_171 243273.MG_505 186
243273.MG_171 243273.MG_418 493
243273.MG_171 243273.MG_335 173
243273.MG_171 243273.MG_182 832
243273.MG_171 243273.MG_434 636
243273.MG_171 243273.MG_344 161
243273.MG_171 243273.MG_304 151
243273.MG_171 243273.MG_162 950
243273.MG_171 243273.MG_143 332
243273.MG_171 243273.MG_201 484
243273.MG_171 243273.MG_150 939
243273.MG_171 243273.MG_277 189
243273.MG_171 243273.MG_081 402
243273.MG_171 243273.MG_252 150
243273.MG_171 243273.MG_009 232
243273.MG_171 243273.MG_166 952
243273.MG_171 243273.MG_351 594
243273.MG_171 243273.MG_204 165
243273.MG_171 243273.MG_168 952
243273.MG_171 243273.MG_020 161
243273.MG_171 243273.MG_451 705
243273.MG_171 243273.MG_014 188
243273.MG_171 243273.MG_071 172
243273.MG_171 243273.MG_138 213
243273.MG_171 243273.MG_059 198
243273.MG_171 243273.MG_165 954
243273.MG_171 243273.MG_437 671
243273.MG_171 243273.MG_126 161
243273.MG_171 243273.MG_158 953
243273.MG_171 243273.MG_310 161
243273.MG_171 243273.MG_444 412
243273.MG_171 243273.MG_368 467
243273.MG_171 243273.MG_174 909
243273.MG_171 243273.MG_282 165
243273.MG_171 243273.MG_167 953
243273.MG_171 243273.MG_431 570
243273.MG_171 243273.MG_457 301
243273.MG_171 243273.MG_112 280
243273.MG_171 243273.MG_172 925
243273.MG_171 243273.MG_053 304
243273.MG_171 243273.MG_425 154
243273.MG_171 243273.MG_300 483
243273.MG_171 243273.MG_276 945
243273.MG_171 243273.MG_339 582
243273.MG_171 243273.MG_212 214
243273.MG_171 243273.MG_435 418
243273.MG_171 243273.MG_259 265
243273.MG_171 243273.MG_324 328
243273.MG_171 243273.MG_249 397
243273.MG_171 243273.MG_353 166
243273.MG_171 243273.MG_026 640
243273.MG_171 243273.MG_477 337
243273.MG_171 243273.MG_033 183
243273.MG_171 243273.MG_034 525
243273.MG_171 243273.MG_145 362
243273.MG_171 243273.MG_469 453
243273.MG_171 243273.MG_384 272
243273.MG_171 243273.MG_148 349
243273.MG_171 243273.MG_266 409
243273.MG_171 243273.MG_340 554
243273.MG_171 243273.MG_367 157
243273.MG_171 243273.MG_196 239
243273.MG_171 243273.MG_015 188
243273.MG_171 243273.MG_072 223
243273.MG_171 243273.MG_424 357
243273.MG_171 243273.MG_394 683
243273.MG_171 243273.MG_272 532
243273.MG_171 243273.MG_301 456
243273.MG_171 243273.MG_229 931
243273.MG_171 243273.MG_177 938
243273.MG_171 243273.MG_023 179
243273.MG_171 243273.MG_058 455
243273.MG_171 243273.MG_462 452
243273.MG_171 243273.MG_460 407
243273.MG_171 243273.MG_146 319
243273.MG_171 243273.MG_113 217
243273.MG_171 243273.MG_013 456
243273.MG_171 243273.MG_055 276
243273.MG_171 243273.MG_240 506
243273.MG_171 243273.MG_400 504
243273.MG_171 243273.MG_123 167
243273.MG_171 243273.MG_144 349
243273.MG_171 243273.MG_438 212
243273.MG_171 243273.MG_035 252
243273.MG_171 243273.MG_455 350
243273.MG_171 243273.MG_087 550
243273.MG_171 243273.MG_419 230
243273.MG_171 243273.MG_361 580
243273.MG_171 243273.MG_227 459
243273.MG_171 243273.MG_382 327
243273.MG_171 243273.MG_170 969
243273.MG_171 243273.MG_203 433
243273.MG_171 243273.MG_018 656
243273.MG_171 243273.MG_417 554
243273.MG_171 243273.MG_178 888
243273.MG_171 243273.MG_147 306
243273.MG_171 243273.MG_308 154
243273.MG_171 243273.MG_090 232
243273.MG_171 243273.MG_330 478
243273.MG_171 243273.MG_176 953
243273.MG_171 243273.MG_363 168
243273.MG_171 243273.MG_156 937
243273.MG_171 243273.MG_446 226
243273.MG_171 243273.MG_198 302
243273.MG_171 243273.MG_399 304
243273.MG_171 243273.MG_149 456
243273.MG_171 243273.MG_215 520
243273.MG_171 243273.MG_257 262
243273.MG_171 243273.MG_179 727
243273.MG_171 243273.MG_216 916
243273.MG_171 243273.MG_430 212
243273.MG_171 243273.MG_463 233
243273.MG_171 243273.MG_359 190
243273.MG_171 243273.MG_089 795
243273.MG_171 243273.MG_392 408
243273.MG_171 243273.MG_114 195
243273.MG_171 243273.MG_327 161
243273.MG_171 243273.MG_379 174
243273.MG_171 243273.MG_305 751
243273.MG_171 243273.MG_341 662
243273.MG_171 243273.MG_378 166
243273.MG_171 243273.MG_052 172
243273.MG_171 243273.MG_111 674
243273.MG_171 243273.MG_066 529
243273.MG_171 243273.MG_264 447
243273.MG_171 243273.MG_140 278
243273.MG_171 243273.MG_004 165
243273.MG_171 243273.MG_208 186
243273.MG_171 243273.MG_030 302
243273.MG_171 243273.MG_334 219
243273.MG_171 243273.MG_088 761
243273.MG_171 243273.MG_197 170
243273.MG_171 243273.MG_404 297
243273.MG_171 243273.MG_253 395
243273.MG_171 243273.MG_401 571
243273.MG_171 243273.MG_232 313
243273.MG_171 243273.MG_160 953
243273.MG_171 243273.MG_155 966
243273.MG_171 243273.MG_006 575
243273.MG_171 243273.MG_271 227
243273.MG_171 243273.MG_370 224
243273.MG_171 243273.MG_082 559
243273.MG_171 243273.MG_070 363
243273.MG_171 243273.MG_403 390
243273.MG_171 243273.MG_251 203
243273.MG_171 243273.MG_195 725
243273.MG_171 243273.MG_402 431
243273.MG_171 243273.MG_154 964
243273.MG_171 243273.MG_292 295
243273.MG_171 243273.MG_180 727
243273.MG_171 243273.MG_238 420
243273.MG_171 243273.MG_163 954
243273.MG_171 243273.MG_092 197
243273.MG_171 243273.MG_173 969
243273.MG_171 243273.MG_161 957
243273.MG_171 243273.MG_164 916
243273.MG_171 243273.MG_021 376
243273.MG_171 243273.MG_224 376
243273.MG_171 243273.MG_027 446
243273.MG_171 243273.MG_522 281
243273.MG_172 243273.MG_382 254
243273.MG_172 243273.MG_170 932
243273.MG_172 243273.MG_018 189
243273.MG_172 243273.MG_417 319
243273.MG_172 243273.MG_087 911
243273.MG_172 243273.MG_106 899
243273.MG_172 243273.MG_455 405
243273.MG_172 243273.MG_227 206
243273.MG_172 243273.MG_361 955
243273.MG_172 243273.MG_156 995
243273.MG_172 243273.MG_446 224
243273.MG_172 243273.MG_363 262
243273.MG_172 243273.MG_176 984
243273.MG_172 243273.MG_090 513
243273.MG_172 243273.MG_399 178
243273.MG_172 243273.MG_198 353
243273.MG_172 243273.MG_147 306
243273.MG_172 243273.MG_127 202
243273.MG_172 243273.MG_178 879
243273.MG_172 243273.MG_226 174
243273.MG_172 243273.MG_308 334
243273.MG_172 243273.MG_424 880
243273.MG_172 243273.MG_340 395
243273.MG_172 243273.MG_196 400
243273.MG_172 243273.MG_148 349
243273.MG_172 243273.MG_384 161
243273.MG_172 243273.MG_266 366
243273.MG_172 243273.MG_125 284
243273.MG_172 243273.MG_177 902
243273.MG_172 243273.MG_301 156
243273.MG_172 243273.MG_026 771
243273.MG_172 243273.MG_136 172
243273.MG_172 243273.MG_469 214
243273.MG_172 243273.MG_145 391
243273.MG_172 243273.MG_477 278
243273.MG_172 243273.MG_210 302
243273.MG_172 243273.MG_438 208
243273.MG_172 243273.MG_144 337
243273.MG_172 243273.MG_146 334
243273.MG_172 243273.MG_058 547
243273.MG_172 243273.MG_460 190
243273.MG_172 243273.MG_462 949
243273.MG_172 243273.MG_055 376
243273.MG_172 243273.MG_098 184
243273.MG_172 243273.MG_318 168
243273.MG_172 243273.MG_328 163
243273.MG_172 243273.MG_195 722
243273.MG_172 243273.MG_246 193
243273.MG_172 243273.MG_292 199
243273.MG_172 243273.MG_154 996
243273.MG_172 243273.MG_171 925
243273.MG_172 243273.MG_006 286
243273.MG_172 243273.MG_232 635
243273.MG_172 243273.MG_155 987
243273.MG_172 243273.MG_160 988
243273.MG_172 243273.MG_124 157
243273.MG_172 243273.MG_070 952
243273.MG_172 243273.MG_082 860
243273.MG_172 243273.MG_027 186
243273.MG_172 243273.MG_522 348
243273.MG_172 243273.MG_163 996
243273.MG_172 243273.MG_092 226
243273.MG_172 243273.MG_238 313
243273.MG_172 243273.MG_180 730
243273.MG_172 243273.MG_164 984
243273.MG_172 243273.MG_161 997
243273.MG_172 243273.MG_173 911
243273.MG_172 243273.MG_341 505
243273.MG_172 243273.MG_038 215
243273.MG_172 243273.MG_305 258
243273.MG_172 243273.MG_453 151
243273.MG_172 243273.MG_111 162
243273.MG_172 243273.MG_378 236
243273.MG_172 243273.MG_257 152
243273.MG_172 243273.MG_041 182
243273.MG_172 243273.MG_149 513
243273.MG_172 243273.MG_392 436
243273.MG_172 243273.MG_089 934
243273.MG_172 243273.MG_430 284
243273.MG_172 243273.MG_463 234
243273.MG_172 243273.MG_179 771
243273.MG_172 243273.MG_040 196
243273.MG_172 243273.MG_197 506
243273.MG_172 243273.MG_088 938
243273.MG_172 243273.MG_253 402
243273.MG_172 243273.MG_225 165
243273.MG_172 243273.MG_030 156
243273.MG_172 243273.MG_139 159
243273.MG_172 243273.MG_140 279
243273.MG_172 243273.MG_322 186
243273.MG_172 243273.MG_181 731
243273.MG_172 243273.MG_433 600
243273.MG_172 243273.MG_426 355
243273.MG_172 243273.MG_407 183
243273.MG_172 243273.MG_134 162
243273.MG_172 243273.MG_115 186
243273.MG_172 243273.MG_169 985
243273.MG_172 243273.MG_275 151
243273.MG_172 243273.MG_107 243
243273.MG_172 243273.MG_478 539
243273.MG_172 243273.MG_054 324
243273.MG_172 243273.MG_473 221
243273.MG_172 243273.MG_048 202
243273.MG_172 243273.MG_268 172
243273.MG_172 243273.MG_159 997
243273.MG_172 243273.MG_297 196
243273.MG_172 243273.MG_183 722
243273.MG_172 243273.MG_234 273
243273.MG_172 243273.MG_185 476
243273.MG_172 243273.MG_476 187
243273.MG_172 243273.MG_005 174
243273.MG_172 243273.MG_325 221
243273.MG_172 243273.MG_250 210
243273.MG_172 243273.MG_311 931
243273.MG_172 243273.MG_152 995
243273.MG_172 243273.MG_046 491
243273.MG_172 243273.MG_157 991
243273.MG_172 243273.MG_151 997
243273.MG_172 243273.MG_153 998
243273.MG_172 243273.MG_142 374
243273.MG_172 243273.MG_387 337
243273.MG_172 243273.MG_184 693
243273.MG_172 243273.MG_481 522
243273.MG_172 243273.MG_194 282
243273.MG_172 243273.MG_470 233
243273.MG_172 243273.MG_047 220
243273.MG_172 243273.MG_207 150
243273.MG_172 243273.MG_141 368
243273.MG_172 243273.MG_423 159
243273.MG_172 243273.MG_175 987
243273.MG_172 243273.MG_444 292
243273.MG_172 243273.MG_347 250
243273.MG_172 243273.MG_391 384
243273.MG_172 243273.MG_158 996
243273.MG_172 243273.MG_174 908
243273.MG_172 243273.MG_451 551
243273.MG_172 243273.MG_206 253
243273.MG_172 243273.MG_437 186
243273.MG_172 243273.MG_165 990
243273.MG_172 243273.MG_283 237
243273.MG_172 243273.MG_059 197
243273.MG_172 243273.MG_435 305
243273.MG_172 243273.MG_276 252
243273.MG_172 243273.MG_259 543
243273.MG_172 243273.MG_324 462
243273.MG_172 243273.MG_249 178
243273.MG_172 243273.MG_457 185
243273.MG_172 243273.MG_431 277
243273.MG_172 243273.MG_282 152
243273.MG_172 243273.MG_167 998
243273.MG_172 243273.MG_300 235
243273.MG_172 243273.MG_425 334
243273.MG_172 243273.MG_053 191
243273.MG_172 243273.MG_418 981
243273.MG_172 243273.MG_258 232
243273.MG_172 243273.MG_132 246
243273.MG_172 243273.MG_505 186
243273.MG_172 243273.MG_434 298
243273.MG_172 243273.MG_304 214
243273.MG_172 243273.MG_182 772
243273.MG_172 243273.MG_093 154
243273.MG_172 243273.MG_084 193
243273.MG_172 243273.MG_362 365
243273.MG_172 243273.MG_375 380
243273.MG_172 243273.MG_081 862
243273.MG_172 243273.MG_252 160
243273.MG_172 243273.MG_168 987
243273.MG_172 243273.MG_466 170
243273.MG_172 243273.MG_166 996
243273.MG_172 243273.MG_150 963
243273.MG_172 243273.MG_442 842
243273.MG_172 243273.MG_143 324
243273.MG_172 243273.MG_162 997
243273.MG_173 243273.MG_341 581
243273.MG_173 243273.MG_305 388
243273.MG_173 243273.MG_149 456
243273.MG_173 243273.MG_002 256
243273.MG_173 243273.MG_257 312
243273.MG_173 243273.MG_463 212
243273.MG_173 243273.MG_216 317
243273.MG_173 243273.MG_429 197
243273.MG_173 243273.MG_179 727
243273.MG_173 243273.MG_392 501
243273.MG_173 243273.MG_089 825
243273.MG_173 243273.MG_197 531
243273.MG_173 243273.MG_398 171
243273.MG_173 243273.MG_088 999
243273.MG_173 243273.MG_404 277
243273.MG_173 243273.MG_066 269
243273.MG_173 243273.MG_140 278
243273.MG_173 243273.MG_208 258
243273.MG_173 243273.MG_139 338
243273.MG_173 243273.MG_403 364
243273.MG_173 243273.MG_195 587
243273.MG_173 243273.MG_171 969
243273.MG_173 243273.MG_393 390
243273.MG_173 243273.MG_292 186
243273.MG_173 243273.MG_402 420
243273.MG_173 243273.MG_154 997
243273.MG_173 243273.MG_401 469
243273.MG_173 243273.MG_124 350
243273.MG_173 243273.MG_006 282
243273.MG_173 243273.MG_160 999
243273.MG_173 243273.MG_155 999
243273.MG_173 243273.MG_232 521
243273.MG_173 243273.MG_239 231
243273.MG_173 243273.MG_070 999
243273.MG_173 243273.MG_082 964
243273.MG_173 243273.MG_027 257
243273.MG_173 243273.MG_224 187
243273.MG_173 243273.MG_522 821
243273.MG_173 243273.MG_180 727
243273.MG_173 243273.MG_092 884
243273.MG_173 243273.MG_163 995
243273.MG_173 243273.MG_238 494
243273.MG_173 243273.MG_161 995
243273.MG_173 243273.MG_287 211
243273.MG_173 243273.MG_164 999
243273.MG_173 243273.MG_366 311
243273.MG_173 243273.MG_148 475
243273.MG_173 243273.MG_384 165
243273.MG_173 243273.MG_465 434
243273.MG_173 243273.MG_424 999
243273.MG_173 243273.MG_196 937
243273.MG_173 243273.MG_032 296
243273.MG_173 243273.MG_295 296
243273.MG_173 243273.MG_340 683
243273.MG_173 243273.MG_177 957
243273.MG_173 243273.MG_026 655
243273.MG_173 243273.MG_353 153
243273.MG_173 243273.MG_145 343
243273.MG_173 243273.MG_477 338
243273.MG_173 243273.MG_136 250
243273.MG_173 243273.MG_037 164
243273.MG_173 243273.MG_298 188
243273.MG_173 243273.MG_400 221
243273.MG_173 243273.MG_210 160
243273.MG_173 243273.MG_144 340
243273.MG_173 243273.MG_113 212
243273.MG_173 243273.MG_146 315
243273.MG_173 243273.MG_462 928
243273.MG_173 243273.MG_058 193
243273.MG_173 243273.MG_055 337
243273.MG_173 243273.MG_098 241
243273.MG_173 243273.MG_318 897
243273.MG_173 243273.MG_170 961
243273.MG_173 243273.MG_369 309
243273.MG_173 243273.MG_417 869
243273.MG_173 243273.MG_087 999
243273.MG_173 243273.MG_455 241
243273.MG_173 243273.MG_106 241
243273.MG_173 243273.MG_361 965
243273.MG_173 243273.MG_176 999
243273.MG_173 243273.MG_330 224
243273.MG_173 243273.MG_090 872
243273.MG_173 243273.MG_446 798
243273.MG_173 243273.MG_156 995
243273.MG_173 243273.MG_363 520
243273.MG_173 243273.MG_198 594
243273.MG_173 243273.MG_399 234
243273.MG_173 243273.MG_178 923
243273.MG_173 243273.MG_147 306
243273.MG_173 243273.MG_421 268
243273.MG_173 243273.MG_308 469
243273.MG_173 243273.MG_132 164
243273.MG_173 243273.MG_418 622
243273.MG_173 243273.MG_182 777
243273.MG_173 243273.MG_434 153
243273.MG_173 243273.MG_093 364
243273.MG_173 243273.MG_024 239
243273.MG_173 243273.MG_405 333
243273.MG_173 243273.MG_362 580
243273.MG_173 243273.MG_252 162
243273.MG_173 243273.MG_081 957
243273.MG_173 243273.MG_351 198
243273.MG_173 243273.MG_166 994
243273.MG_173 243273.MG_168 999
243273.MG_173 243273.MG_466 284
243273.MG_173 243273.MG_162 997
243273.MG_173 243273.MG_201 394
243273.MG_173 243273.MG_150 999
243273.MG_173 243273.MG_442 157
243273.MG_173 243273.MG_143 534
243273.MG_173 243273.MG_158 996
243273.MG_173 243273.MG_444 371
243273.MG_173 243273.MG_347 151
243273.MG_173 243273.MG_019 256
243273.MG_173 243273.MG_368 175
243273.MG_173 243273.MG_174 963
243273.MG_173 243273.MG_451 701
243273.MG_173 243273.MG_269 183
243273.MG_173 243273.MG_165 999
243273.MG_173 243273.MG_339 325
243273.MG_173 243273.MG_200 256
243273.MG_173 243273.MG_435 180
243273.MG_173 243273.MG_354 197
243273.MG_173 243273.MG_431 193
243273.MG_173 243273.MG_282 172
243273.MG_173 243273.MG_167 995
243273.MG_173 243273.MG_457 205
243273.MG_173 243273.MG_112 302
243273.MG_173 243273.MG_172 911
243273.MG_173 243273.MG_425 469
243273.MG_173 243273.MG_234 375
243273.MG_173 243273.MG_183 693
243273.MG_173 243273.MG_476 422
243273.MG_173 243273.MG_185 476
243273.MG_173 243273.MG_325 249
243273.MG_173 243273.MG_102 254
243273.MG_173 243273.MG_005 247
243273.MG_173 243273.MG_157 999
243273.MG_173 243273.MG_151 993
243273.MG_173 243273.MG_010 232
243273.MG_173 243273.MG_250 232
243273.MG_173 243273.MG_152 999
243273.MG_173 243273.MG_311 999
243273.MG_173 243273.MG_221 224
243273.MG_173 243273.MG_153 994
243273.MG_173 243273.MG_481 529
243273.MG_173 243273.MG_142 958
243273.MG_173 243273.MG_184 698
243273.MG_173 243273.MG_423 338
243273.MG_173 243273.MG_029 229
243273.MG_173 243273.MG_141 424
243273.MG_173 243273.MG_194 173
243273.MG_173 243273.MG_218 188
243273.MG_173 243273.MG_175 999
243273.MG_173 243273.MG_181 726
243273.MG_173 243273.MG_091 407
243273.MG_173 243273.MG_426 478
243273.MG_173 243273.MG_433 411
243273.MG_173 243273.MG_169 997
243273.MG_173 243273.MG_407 186
243273.MG_173 243273.MG_478 539
243273.MG_173 243273.MG_473 249
243273.MG_173 243273.MG_380 231
243273.MG_173 243273.MG_260 208
243273.MG_173 243273.MG_388 182
243273.MG_173 243273.MG_054 405
243273.MG_173 243273.MG_159 996
243273.MG_173 243273.MG_205 357
243273.MG_173 243273.MG_122 480
243273.MG_174 243273.MG_166 999
243273.MG_174 243273.MG_204 317
243273.MG_174 243273.MG_168 999
243273.MG_174 243273.MG_466 999
243273.MG_174 243273.MG_081 999
243273.MG_174 243273.MG_162 999
243273.MG_174 243273.MG_201 251
243273.MG_174 243273.MG_150 999
243273.MG_174 243273.MG_442 435
243273.MG_174 243273.MG_143 411
243273.MG_174 243273.MG_182 775
243273.MG_174 243273.MG_418 999
243273.MG_174 243273.MG_258 980
243273.MG_174 243273.MG_375 841
243273.MG_174 243273.MG_362 999
243273.MG_174 243273.MG_093 999
243273.MG_174 243273.MG_118 199
243273.MG_174 243273.MG_209 208
243273.MG_174 243273.MG_405 455
243273.MG_174 243273.MG_200 712
243273.MG_174 243273.MG_435 999
243273.MG_174 243273.MG_425 160
243273.MG_174 243273.MG_172 908
243273.MG_174 243273.MG_431 202
243273.MG_174 243273.MG_167 999
243273.MG_174 243273.MG_457 897
243273.MG_174 243273.MG_368 217
243273.MG_174 243273.MG_019 712
243273.MG_174 243273.MG_158 999
243273.MG_174 243273.MG_444 999
243273.MG_174 243273.MG_059 983
243273.MG_174 243273.MG_165 999
243273.MG_174 243273.MG_451 999
243273.MG_174 243273.MG_138 970
243273.MG_174 243273.MG_481 999
243273.MG_174 243273.MG_142 902
243273.MG_174 243273.MG_184 707
243273.MG_174 243273.MG_153 999
243273.MG_174 243273.MG_231 165
243273.MG_174 243273.MG_175 999
243273.MG_174 243273.MG_141 731
243273.MG_174 243273.MG_194 231
243273.MG_174 243273.MG_047 241
243273.MG_174 243273.MG_476 629
243273.MG_174 243273.MG_408 224
243273.MG_174 243273.MG_185 485
243273.MG_174 243273.MG_254 157
243273.MG_174 243273.MG_468 274
243273.MG_174 243273.MG_183 724
243273.MG_174 243273.MG_234 999
243273.MG_174 243273.MG_157 999
243273.MG_174 243273.MG_151 999
243273.MG_174 243273.MG_311 999
243273.MG_174 243273.MG_152 999
243273.MG_174 243273.MG_102 189
243273.MG_174 243273.MG_325 932
243273.MG_174 243273.MG_473 932
243273.MG_174 243273.MG_388 172
243273.MG_174 243273.MG_054 658
243273.MG_174 243273.MG_478 529
243273.MG_174 243273.MG_297 562
243273.MG_174 243273.MG_122 510
243273.MG_174 243273.MG_159 999
243273.MG_174 243273.MG_048 916
243273.MG_174 243273.MG_426 999
243273.MG_174 243273.MG_433 480
243273.MG_174 243273.MG_181 726
243273.MG_174 243273.MG_091 230
243273.MG_174 243273.MG_275 642
243273.MG_174 243273.MG_169 999
243273.MG_174 243273.MG_407 204
243273.MG_174 243273.MG_253 155
243273.MG_174 243273.MG_404 438
243273.MG_174 243273.MG_278 957
243273.MG_174 243273.MG_197 999
243273.MG_174 243273.MG_398 368
243273.MG_174 243273.MG_088 999
243273.MG_174 243273.MG_140 275
243273.MG_174 243273.MG_004 317
243273.MG_174 243273.MG_052 156
243273.MG_174 243273.MG_378 171
243273.MG_174 243273.MG_341 812
243273.MG_174 243273.MG_179 738
243273.MG_174 243273.MG_089 999
243273.MG_174 243273.MG_149 448
243273.MG_174 243273.MG_002 712
243273.MG_174 243273.MG_215 161
243273.MG_174 243273.MG_257 999
243273.MG_174 243273.MG_522 999
243273.MG_174 243273.MG_161 999
243273.MG_174 243273.MG_448 677
243273.MG_174 243273.MG_173 963
243273.MG_174 243273.MG_287 872
243273.MG_174 243273.MG_164 999
243273.MG_174 243273.MG_180 738
243273.MG_174 243273.MG_163 999
243273.MG_174 243273.MG_230 179
243273.MG_174 243273.MG_092 999
243273.MG_174 243273.MG_238 662
243273.MG_174 243273.MG_171 909
243273.MG_174 243273.MG_402 461
243273.MG_174 243273.MG_154 999
243273.MG_174 243273.MG_403 396
243273.MG_174 243273.MG_195 540
243273.MG_174 243273.MG_370 208
243273.MG_174 243273.MG_070 999
243273.MG_174 243273.MG_082 999
243273.MG_174 243273.MG_401 268
243273.MG_174 243273.MG_464 562
243273.MG_174 243273.MG_124 261
243273.MG_174 243273.MG_232 999
243273.MG_174 243273.MG_155 999
243273.MG_174 243273.MG_160 999
243273.MG_174 243273.MG_144 296
243273.MG_174 243273.MG_400 349
243273.MG_174 243273.MG_098 224
243273.MG_174 243273.MG_055 763
243273.MG_174 243273.MG_318 870
243273.MG_174 243273.MG_240 267
243273.MG_174 243273.MG_146 423
243273.MG_174 243273.MG_383 186
243273.MG_174 243273.MG_058 328
243273.MG_174 243273.MG_177 975
243273.MG_174 243273.MG_023 679
243273.MG_174 243273.MG_301 161
243273.MG_174 243273.MG_148 344
243273.MG_174 243273.MG_384 878
243273.MG_174 243273.MG_266 174
243273.MG_174 243273.MG_465 279
243273.MG_174 243273.MG_424 999
243273.MG_174 243273.MG_295 185
243273.MG_174 243273.MG_340 696
243273.MG_174 243273.MG_367 992
243273.MG_174 243273.MG_196 509
243273.MG_174 243273.MG_072 572
243273.MG_174 243273.MG_145 313
243273.MG_174 243273.MG_034 309
243273.MG_174 243273.MG_477 332
243273.MG_174 243273.MG_136 169
243273.MG_174 243273.MG_469 167
243273.MG_174 243273.MG_353 221
243273.MG_174 243273.MG_026 984
243273.MG_174 243273.MG_198 999
243273.MG_174 243273.MG_399 317
243273.MG_174 243273.MG_330 151
243273.MG_174 243273.MG_176 999
243273.MG_174 243273.MG_090 999
243273.MG_174 243273.MG_156 999
243273.MG_174 243273.MG_446 999
243273.MG_174 243273.MG_363 999
243273.MG_174 243273.MG_308 160
243273.MG_174 243273.MG_445 310
243273.MG_174 243273.MG_178 999
243273.MG_174 243273.MG_147 302
243273.MG_174 243273.MG_417 999
243273.MG_174 243273.MG_170 983
243273.MG_174 243273.MG_361 999
243273.MG_174 243273.MG_087 999
243273.MG_174 243273.MG_419 162
243273.MG_174 243273.MG_106 850
243273.MG_175 243273.MG_345 207
243273.MG_175 243273.MG_185 485
243273.MG_175 243273.MG_183 712
243273.MG_175 243273.MG_234 999
